	ID	Chromosome	Start	End	MidPoint	Subject1.Original	Subject1.Smoothed	Subject1.Status	Another.Original	Another.Smoothed	Another.Status	TheThird.Original	TheThird.Smoothed	TheThird.Status	Afourth.Original	Afourth.Smoothed	Afourth.Status	Fifth.Original	Fifth.Smoothed	Fifth.Status
76	Hs.461532	1	15644177	15656824	15650500.5	0.2595	0.1755	1	0.022	0	0	1.081	0.0575	1	0.079	0.105	0	-0.21	-0.053	0
77	Hs.24183	1	15738071	15740843	15739457	0.3195	0.1755	1	-0.246	0	0	0.042	0.0575	1	0.4	0.105	0	-0.104	-0.053	0
78	Hs.184245	1	15919664	16012256	15965960	0.252	0.1755	1	-0.0105	0	0	-0.099	0.0575	1	0.315	0.105	0	0.1595	-0.053	0
79	Hs.433764	1	16013669	16047820	16030744.5	0.1885	0.1755	1	0.129	0	0	0.354	0.0575	1	0.343	0.105	0	0.184	-0.053	0
80	Hs.27017	1	16308771	16309226	16308998.5	0.0745	0.1755	1	0.103	0	0	0.022	0.0575	1	0.163	0.105	0	0.165	-0.053	0
81	Hs.62767	1	16318639	16424254	16371446.5	-0.0295	0.1755	1	-0.093	0	0	0.207	0.0575	1	0.266	0.105	0	-0.065	-0.053	0
82	Hs.252967	1	16439042	16469945	16454493.5	0.3885	0.1755	1	-0.147	0	0	0.078	0.0575	1	0.277	0.105	0	0.153	-0.053	0
83	Hs.528312	1	16539236	16564502	16551869	0.0635	0.1755	1	-0.1095	0	0	0.084	0.0575	1	0.037	0.105	0	0.0315	-0.053	0
84	Hs.301065	1	16692645	16714947	16703796	0.2575	0.1755	1	0.396	0	0	-0.152	0.0575	1	0.297	0.105	0	0.049	-0.053	0
85	Hs.349110	1	16716559	16722148	16719353.5	0.2645	0.1755	1	-0.138	0	0	-0.433	0.0575	1	-0.222	0.105	0	0.029	-0.053	0
86	Hs.389137	1	17046302	17052422	17049362	0.0805	0.1755	1	0.257	0	0	0.307	0.0575	1	0	0.105	0	-0.042	-0.053	0
87	Hs.128866	1	17057758	17083587	17070672.5	0.2455	0.1755	1	-0.166	0	0	0.237	0.0575	1	-0.018	0.105	0	0.199	-0.053	0
88	Hs.64	1	17099559	17125802	17112680.5	-0.2175	0.1755	1	-0.022	0	0	-0.098	0.0575	1	0.093	0.105	0	-0.035	-0.053	0
89	Hs.33455	1	17138562	17191236	17164899	0.1545	0.1755	1	0.347	0	0	0.905	0.0575	1	0.007	0.105	0	0.059	-0.053	0
90	Hs.414795	1	17615961	17619278	17617619.5	-0.2635	0.1755	1	-0.053	0	0	-0.323	0.0575	1	-0.279	0.105	0	-0.245	-0.053	0
91	Hs.287616	1	19146631	19282048	19214339.5	0.038	0.1755	1	0.4945	0	0	0.966	0.0575	1	0.262	0.105	0	0.053	-0.053	0
92	Hs.439200	1	19287463	19323317	19305390	-0.0135	0.1755	1	-0.024	0	0	-0.109	0.0575	1	-0.168	0.105	0	-0.335	-0.053	0
93	Hs.463797	1	19323632	19326196	19324914	-0.1525	0.1755	1	0.19	0	0	0.233	0.0575	1	0.173	0.105	0	-0.024	-0.053	0
94	Hs.333417	1	19410575	19415884	19413229.5	0.2245	0.1755	1	0.136	0	0	0.395	0.0575	1	0.145	0.105	0	0.121	0.188	1
95	Hs.343588	1	19668799	19700111	19684455	0.0955	0.1755	1	0.007	0	0	0.85	0.0575	1	0.265	0.105	0	0.603	0.188	1
96	Hs.439671	1	19715031	19730251	19722641	0.3885	0.1755	1	0.304	0	0	-0.094	0.0575	1	0.209	0.105	0	0.407	0.188	1
97	Hs.22180	1	19737085	19751361	19744223	0.3275	0.1755	1	-0.242	0	0	0.406	0.0575	1	0.139	0.105	0	0.201	0.188	1
98	Hs.43018	1	19815418	19816221	19815819.5	0.152	0.1755	1	-0.1245	0	0	-0.1105	0.0575	1	0.0115	0.105	0	0.013	0.188	1
99	Hs.374987	1	19976122	19984735	19980428.5	0.0535	0.1755	1	0.16	0	0	-0.165	0.0575	1	0.101	0.105	0	0.134	0.188	1
100	Hs.319438	1	20155374	20162982	20159178	-0.1995	0.1755	1	-0.192	0	0	-0.043	0.0575	1	-0.19	0.105	0	0.53	0.188	1
101	Hs.197922	1	20554189	20554665	20554427	0.3325	0.1755	1	-0.244	0	0	-0.221	0.0575	1	0.318	0.105	0	0.291	0.188	1
102	Hs.10101	1	20571248	20579960	20575604	0.5425	0.1755	1	-0.162	0	0	0.088	0.0575	1	0.267	0.105	0	0.2	0.188	1
103	Hs.72924	1	20660938	20690700	20675819	0.0045	0.1755	1	0.134	0	0	-0.146	0.0575	1	-0.089	0.105	0	0.667	0.188	1
104	Hs.389171	1	20719413	20723077	20721245	0.3775	0.1755	1	-0.015	0	0	1.309	0.0575	1	0.185	0.105	0	0.778	0.188	1
105	Hs.166270	1	20804678	20805751	20805214.5	0.2155	0.1755	1	-0.31	0	0	0.225	0.0575	1	0.089	0.105	0	0.094	0.188	1
106	Hs.492802	1	21290403	21292438	21291420.5	0.3115	0.1755	1	0.097	0	0	0.0875	0.0575	1	0.0245	0.105	0	0.3205	0.188	1
107	Hs.325422	1	21538081	21538538	21538309.5	0.1035	0.1755	1	0.065	0	0	-0.096	0.0575	1	0.053	0.105	0	0.101	0.188	1
108	Hs.250769	1	21581174	21650208	21615691	0.1535	0.1755	1	-0.245	0	0	-0.231	0.0575	1	0.244	0.105	0	0.326	0.188	1
109	Hs.433797	1	21668019	21691840	21679929.5	0.4595	0.1755	1	0.071	0	0	-0.085	0.0575	1	0.09	0.105	0	0.512	0.188	1
110	Hs.211573	1	21894043	21968110	21931076.5	0.2015	0.1755	1	0.149	0	0	1.2	0.0575	1	0.491	0.105	0	0.383	0.188	1
111	Hs.355832	1	22124466	22164742	22144604	-5e-04	0.1755	1	-0.0603333333333333	0	0	0.176666666666667	0.0575	1	0.011	0.105	0	-0.0473333333333333	0.188	1
112	Hs.25766	1	22189103	22190725	22189914	0.2295	0.1755	1	-0.27	0	0	0.555	0.0575	1	0.021	0.105	0	0.413	0.188	1
113	Hs.302428	1	22190895	22214757	22202826	0.1035	0.1755	1	0.1135	0	0	0.2475	0.0575	1	0.172	0.105	0	0.1905	0.188	1
114	Hs.528723	1	22523671	22600286	22561978.5	-0.0165	0.1755	1	-0.057	0	0	-0.277	0.0575	1	0.001	0.105	0	-0.262	0.188	1
115	Hs.94953	1	22719220	22719858	22719539	0.6995	0.1755	1	-0.346	0	0	-0.259	0.0575	1	0.173	0.105	0	0.248	0.188	1
116	Hs.125124	1	22782763	22987098	22884930.5	0.2355	0.1755	1	-0.207	0	0	0.966	0.0575	1	0.05	0.105	0	-0.146	0.188	1
117	Hs.454808	1	23162225	23166181	23164203	0.3415	0.1755	1	-0.116	0	0	0.039	0.0575	1	0.338	0.105	0	-0.034	0.188	1
118	Hs.99836	1	23353107	23358551	23355829	-0.1725	0.1755	1	-0.262	0	0	-0.748	0.0575	1	-0.205	0.105	0	0.346	0.188	1
119	Hs.446354	1	23452860	23496567	23474713.5	-0.6575	0.1755	1	0.506	0	0	-0.331	0.0575	1	-0.14	0.105	0	-0.256	0.188	1
120	Hs.231444	1	23578227	23603019	23590623	0.4445	0.1755	1	0.1255	0	0	0.4245	0.0575	1	0.259	0.105	0	0.3855	0.188	1
121	Hs.76884	1	23630908	23631282	23631095	0.1345	0.1755	1	0.166	0	0	-0.413	0.0575	1	0.27	0.105	0	-0.192	0.188	1
122	Hs.15535	1	23826749	23829991	23828370	0.0475	0.1755	1	-0.1285	0	0	0.1945	0.0575	1	-0.057	0.105	0	0.165	0.188	1
123	Hs.31819	1	23850193	23860448	23855320.5	-0.0265	0.1755	1	0.069	0	0	0.04	0.0575	1	0.221	0.105	0	0.066	0.188	1
124	Hs.413781	1	23862951	23867335	23865143	0.1055	0.1755	1	0.104	0	0	-0.061	0.0575	1	0.447	0.105	0	0.119	0.188	1
125	Hs.76057	1	23867394	23872577	23869985.5	0.1185	0.1755	1	0.066	0	0	0.347	0.0575	1	0.261	0.105	0	0.439	0.188	1
126	Hs.3530	1	24042174	24049448	24045811	0.0085	0.1755	1	-0.067	0	0	-0.661	0.0575	1	0.002	0.105	0	-0.325	0.188	1
127	Hs.405497	1	24445496	24488730	24467113	-0.0365	0.1755	1	0.135	0	0	-0.035	0.0575	1	0.141	0.105	0	0.091	0.188	1
128	Hs.399958	1	24568065	24607197	24587631	0.2695	0.1755	1	0.107	0	0	1.115	0.0575	1	0.684	0.105	0	0.511	0.188	1
129	Hs.129319	1	24574692	24608812	24591752	0.3365	0.1755	1	0.02	0	0	0.202	0.0575	1	0.278	0.105	0	-0.305	0.188	1
130	Hs.18192	1	24714899	24745067	24729983	0.0625	0.1755	1	-0.132	0	0	-1.141	0.0575	1	-0.044	0.105	0	0.493	0.188	1
131	Hs.25035	1	24817153	24916065	24866609	-0.442	0.1755	1	-0.031	0	0	-0.06	0.0575	1	-0.401	0.105	0	-0.636	0.188	1
132	Hs.170019	1	24971363	25001674	24986518.5	0.4845	0.1755	1	0.194	0	0	0.146	0.0575	1	0.154	0.105	0	0.551	0.188	1
133	Hs.259412	1	25314051	25409972	25362011.5	0.1515	0.1755	1	0.065	0	0	0.118	0.0575	1	0.295	0.105	0	0.123	0.188	1
134	Hs.468538	1	25392694	25393156	25392925	-0.2055	0.1755	1	0.181	0	0	0.147	0.0575	1	-0.129	0.105	0	0.467	0.188	1
135	Hs.278994	1	25434178	25492637	25463407.5	0.2615	0.1755	1	0.044	0	0	-0.334	0.0575	1	0.027	0.105	0	0.15	0.188	1
136	Hs.184482	1	25573281	25579521	25576401	0.3245	0.1755	1	0.14	0	0	0.354	0.0575	1	0.207	0.105	0	-0.085	0.188	1
137	Hs.8910	1	25628486	25795087	25711786.5	0.075	0.1755	1	0.109	0	0	-0.1485	0.0575	1	0.1385	0.105	0	-0.012	0.188	1
138	Hs.8518	1	25810812	25828859	25819835.5	0.1335	0.1755	1	0.292	0	0	0.297	0.0575	1	0.017	0.105	0	-0.089	0.188	1
139	Hs.323396	1	25832159	25843573	25837866	0.3725	0.1755	1	0.39	0	0	0.687	0.0575	1	0.22	0.105	0	0.425	0.188	1
140	Hs.209983	1	25911200	25917050	25914125	-0.2265	0.1755	1	0.073	0	0	-0.43	0.0575	1	-0.228	0.105	0	-0.381	0.188	1
141	Hs.477083	1	25971402	26001555	25986478.5	-0.2355	0.1755	1	-0.052	0	0	-0.012	0.0575	1	0.299	0.105	0	0.209	0.188	1
142	Hs.259664	1	26059217	26059690	26059453.5	0.3665	0.1755	1	-0.068	0	0	0.103	0.0575	1	-0.316	0.105	0	0.338	0.188	1
143	Hs.29911	1	26122469	26136176	26129322.5	-0.3865	0.1755	1	-0.22	0	0	-0.441	0.0575	1	-0.22	0.105	0	-0.109	0.188	1
144	Hs.102419	1	26180662	26181503	26181082.5	0.2605	0.1755	1	-0.074	0	0	-0.029	0.0575	1	0.214	0.105	0	0.347	0.188	1
145	Hs.16232	1	26188141	26200517	26194329	0.1085	0.1755	1	0.327	0	0	-0.022	0.0575	1	0.172	0.105	0	0.513	0.188	1
146	Hs.145061	1	26292914	26317269	26305091.5	0.4025	0.1755	1	-0.147	0	0	0.278	0.0575	1	0.334	0.105	0	-0.133	0.188	1
147	Hs.276770	1	26328633	26331156	26329894.5	0.5475	0.1755	1	-0.094	0	0	0.232	0.0575	1	0.439	0.105	0	1.268	0.188	1
148	Hs.181163	1	26483147	26485879	26484513	0.311	0.1755	1	-0.0195	0	0	0.035	0.0575	1	-0.0975	0.105	0	0.0605	0.188	1
149	Hs.149957	1	26540406	26585658	26563032	0.2435	0.1755	1	0.205	0	0	0.275	0.0575	1	0.075	0.105	0	0.277	0.188	1
150	Hs.128770	1	26702764	26704764	26703764	0.2885	0.1755	1	0.256	0	0	-0.194	0.0575	1	0.646	0.105	0	0.544	0.188	1
151	Hs.170333	1	26706666	26792737	26749701.5	0.1835	0.1755	1	0.335	0	0	-0.153	0.0575	1	0.082	0.105	0	-0.309	0.188	1
152	Hs.19066	1	26837342	26866350	26851846	0.3445	0.1755	1	-0.05	0	0	0.115	0.0575	1	0.114	0.105	0	0.342	0.188	1
153	Hs.184510	1	26873770	26875090	26874430	0.3415	0.1755	1	-0.306	0	0	-0.103	0.0575	1	0.014	0.105	0	0.173	0.188	1
154	Hs.427055	1	26922121	26924599	26923360	-0.0095	0.1755	1	-0.357	0	0	0.465	0.0575	1	0.01	0.105	0	-0.098	0.188	1
155	Hs.263812	1	26952150	26956289	26954219.5	0.0165	0.1755	1	0.158	0	0	2.43	0.0575	1	0.15	0.105	0	0.343	0.188	1
156	Hs.170222	1	27109448	27165545	27137496.5	0.2695	0.1755	1	0.172	0	0	-0.014	0.0575	1	0.103	0.105	0	0.52	0.188	1
157	Hs.469154	1	27308945	27309300	27309122.5	0.5825	0.1755	1	0.721	0	0	0.65	0.0575	1	0.413	0.105	0	0.207	0.188	1
158	Hs.194694	1	27365811	27377479	27371645	0.1525	0.1755	1	0.019	0	0	0.266	0.0575	1	-0.059	0.105	0	0.061	0.188	1
159	Hs.333383	1	27379773	27380791	27380282	0.0065	0.1755	1	-0.312	0	0	-0.14	0.0575	1	-0.207	0.105	0	0.404	0.188	1
160	Hs.66542	1	27403293	27406460	27404876.5	0.3525	0.1755	1	0.022	0	0	0.359	0.0575	1	0.133	0.105	0	0.252	0.188	1
161	Hs.1422	1	27622952	27645828	27634390	0.1535	0.1755	1	0.406	0	0	0.407	0.0575	1	0.221	0.105	0	0.091	0.188	1
162	Hs.469349	1	27678035	27678419	27678227	0.0725	0.1755	1	0.34	0	0	0.358	0.0575	1	0.294	0.105	0	0.226	0.188	1
163	Hs.71657	1	27735692	27736402	27736047	-0.0155	0.1755	1	0.15	0	0	0.702	0.0575	1	0.22	0.105	0	-0.379	0.188	1
164	Hs.433838	1	27783892	27835094	27809493	0.0765	0.1755	1	0.09	0	0	-0.329	0.0575	1	-0.1	0.105	0	0.227	0.188	1
165	Hs.356590	1	27841434	27862325	27851879.5	0.2175	0.1755	1	0.044	0	0	-0.026	0.0575	1	-0.13	0.105	0	0.028	0.188	1
166	Hs.10649	1	27894050	27897326	27895688	0.3465	0.1755	1	-0.358	0	0	0.314	0.0575	1	-0.245	0.105	0	0.597	0.188	1
167	Hs.77542	1	28157822	28158758	28158290	0.1705	0.1755	1	-0.077	0	0	0.066	0.0575	1	0.122	0.105	0	-0.136	0.188	1
168	Hs.46	1	28160013	28187326	28173669.5	0.0995	0.1755	1	0.083	0	0	-0.124	0.0575	1	0.063	0.105	0	0.048	0.188	1
169	Hs.8026	1	28270179	28293144	28281661.5	0.2535	0.1755	1	-0.074	0	0	0.154	0.0575	1	0.12	0.105	0	0.086	0.188	1
170	Hs.196769	1	28653478	28656761	28655119.5	0	0.1755	1	-0.05	0	0	0.1005	0.0575	1	0.16	0.105	0	0.0055	0.188	1
171	Hs.528699	1	28725666	28728999	28727332.5	-0.2075	0.1755	1	0.083	0	0	-0.365	0.0575	1	-0.018	0.105	0	0.316	0.188	1
172	Hs.421646	1	28760374	28790213	28775293.5	0.4565	0.1755	1	-0.012	0	0	-0.563	0.0575	1	0.42	0.105	0	0.453	0.188	1
173	Hs.4069	1	28830702	28862731	28846716.5	-0.0085	0.1755	1	0.1	0	0	0.216	0.0575	1	-0.477	0.105	0	0.072	0.188	1
174	Hs.175437	1	29200844	29201556	29201200	0.3835	0.1755	1	0.242	0	0	0.101	0.0575	1	0.392	0.105	0	0.716	0.188	1
175	Hs.76122	1	29294961	29328977	29311969	0.0725	0.1755	1	-0.195	0	0	-0.555	0.0575	1	0.123	0.105	0	-0.235	0.188	1
176	Hs.183646	1	29340103	29378052	29359077.5	0.002	0.1755	1	-0.0045	0	0	0.5955	0.0575	1	-0.065	0.105	0	0.18	0.188	1
